"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"numberOfContainerServiceEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.numberOfContainerServiceEntries",".1.3.6.1.4.1.4329.2.45.3.4","INTEGER","read-only","","SharedServices-MIB","The number of services which are deployed to the containers."
"containerServiceTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerServiceTable",".1.3.6.1.4.1.4329.2.45.3.5","SEQUENCE OF ContainerServiceTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the services which are deployed to the containers."
"containerServiceTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerServiceTable.containerServiceTableEntry",".1.3.6.1.4.1.4329.2.45.3.5.1","ContainerServiceTableEntry","not-accessible","containerAssocContainerGuid, containerAssocServiceGuid","SharedServices-MIB","The associated services."
"containerAssocContainerGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerServiceTable.containerServiceTableEntry.containerAssocContainerGuid",".1.3.6.1.4.1.4329.2.45.3.5.1.1","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the container."
"containerAssocServiceGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerServiceTable.containerServiceTableEntry.containerAssocServiceGuid",".1.3.6.1.4.1.4329.2.45.3.5.1.2","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the associated service."
"containerAssocServiceDisplayName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerServiceTable.containerServiceTableEntry.containerAssocServiceDisplayName",".1.3.6.1.4.1.4329.2.45.3.5.1.3","OCTET STRING","read-only","","SharedServices-MIB","The display name of the associated service."
"serviceGroup",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup",".1.3.6.1.4.1.4329.2.45.4",,,"","SharedServices-MIB",""
"numberOfServiceEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.numberOfServiceEntries",".1.3.6.1.4.1.4329.2.45.4.1","INTEGER","read-only","","SharedServices-MIB","The number of entries in the service table."
"numberOfServiceTraps",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.numberOfServiceTraps",".1.3.6.1.4.1.4329.2.45.4.2","INTEGER","read-only","","SharedServices-MIB","The number of traps which were sent to signal status changes of the services."
"serviceTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable",".1.3.6.1.4.1.4329.2.45.4.3","SEQUENCE OF ServiceTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the contents of a service entry. Services are deployed to containers which are installed on nodes. Services are used by applications. Service-faults can initiate alarm traps which could be send to external faultmanagement systems. "
"serviceTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry",".1.3.6.1.4.1.4329.2.45.4.3.1","ServiceTableEntry","not-accessible","serviceGuid","SharedServices-MIB","The service table entries."
"serviceGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry.serviceGuid",".1.3.6.1.4.1.4329.2.45.4.3.1.1","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the service."
"serviceContainerGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry.serviceContainerGuid",".1.3.6.1.4.1.4329.2.45.4.3.1.2","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the associated container."
"serviceNodeGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry.serviceNodeGuid",".1.3.6.1.4.1.4329.2.45.4.3.1.3","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the associated node."
"serviceDisplayName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry.serviceDisplayName",".1.3.6.1.4.1.4329.2.45.4.3.1.4","OCTET STRING","read-only","","SharedServices-MIB","The display name of the service."
"serviceStatus",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry.serviceStatus",".1.3.6.1.4.1.4329.2.45.4.3.1.5","OCTET STRING","read-only","","SharedServices-MIB","The status of the service. Possible values are:normal, warning, critical."
"serviceMgmtURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry.serviceMgmtURL",".1.3.6.1.4.1.4329.2.45.4.3.1.6","OCTET STRING","read-only","","SharedServices-MIB","Points to an page with gives access to the configuration manager of the component if available."
"serviceDocURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry.serviceDocURL",".1.3.6.1.4.1.4329.2.45.4.3.1.7","OCTET STRING","read-only","","SharedServices-MIB","Points to the documentation."
"serviceIconURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceTable.serviceTableEntry.serviceIconURL",".1.3.6.1.4.1.4329.2.45.4.3.1.8","OCTET STRING","read-only","","SharedServices-MIB","Points to a file, which describes the location of the shape and the pixmaps for the icons to be used to display the service on the desktop map."
"numberOfServiceAlarmEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.numberOfServiceAlarmEntries",".1.3.6.1.4.1.4329.2.45.4.4","INTEGER","read-only","","SharedServices-MIB","The number of alarm traps which were initiated by specified service-faults."
"serviceAlarmTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceAlarmTable",".1.3.6.1.4.1.4329.2.45.4.5","SEQUENCE OF ServiceAlarmTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the alarm traps which were generated due to specified faults which appeared in the services."
"serviceAlarmTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceAlarmTable.serviceAlarmTableEntry",".1.3.6.1.4.1.4329.2.45.4.5.1","ServiceAlarmTableEntry","not-accessible","serviceAssocAlarmState, serviceAssocServiceGuid, serviceAssocAlarmIndex","SharedServices-MIB","The associated alarms."
"serviceAssocAlarmState",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceAlarmTable.serviceAlarmTableEntry.serviceAssocAlarmState",".1.3.6.1.4.1.4329.2.45.4.5.1.1","INTEGER","read-only","","SharedServices-MIB","Status of the associated alarm: alarm status on, alarm status off."
"serviceAssocServiceGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceAlarmTable.serviceAlarmTableEntry.serviceAssocServiceGuid",".1.3.6.1.4.1.4329.2.45.4.5.1.2","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the service which has initiated the alarm trap."
"serviceAssocAlarmIndex",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceAlarmTable.serviceAlarmTableEntry.serviceAssocAlarmIndex",".1.3.6.1.4.1.4329.2.45.4.5.1.3","INTEGER","read-only","","SharedServices-MIB","The alarm table index of the associated alarm, which is defined in the alarm group."
"serviceAssocAlarmDescription",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.serviceGroup.serviceAlarmTable.serviceAlarmTableEntry.serviceAssocAlarmDescription",".1.3.6.1.4.1.4329.2.45.4.5.1.4","OCTET STRING","read-only","","SharedServices-MIB","A description of the associated alarm."
"alarmGroup",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup",".1.3.6.1.4.1.4329.2.45.5",,,"","SharedServices-MIB",""
"numberOfAlarmEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.numberOfAlarmEntries",".1.3.6.1.4.1.4329.2.45.5.1","INTEGER","read-only","","SharedServices-MIB","The number of entries in the alarm-trap table."
"numberOfAlarmTraps",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.numberOfAlarmTraps",".1.3.6.1.4.1.4329.2.45.5.2","INTEGER","read-only","","SharedServices-MIB","The number of alarm-traps which were initiated by specified faults."
